Parameter,Value,Score
Manning_n_10,0.011293505477723668,0.2687322139409103
Manning_n_30,0.0001,0.2687322139409103
Manning_n_40,10.0,0.2687322139409103
Manning_n_50,0.0001,0.2687322139409103
Manning_n_60,0.0001,0.2687322139409103
Manning_n_80,10.0,0.2687322139409103
