Parameter,Value,Score
Manning_n_10,0.043420605837122976,0.24037749831263844
Manning_n_30,10.0,0.24037749831263844
Manning_n_40,10.0,0.24037749831263844
Manning_n_50,0.8323529479287115,0.24037749831263844
Manning_n_60,10.0,0.24037749831263844
Manning_n_80,0.0015078106487580638,0.24037749831263844
