Parameter,Value,Score
Manning_n_10,10.0,0.20846829782414278
Manning_n_30,10.0,0.20846829782414278
Manning_n_40,10.0,0.20846829782414278
Manning_n_50,0.13410625287106254,0.20846829782414278
Manning_n_60,10.0,0.20846829782414278
Manning_n_80,10.0,0.20846829782414278
