Parameter,Value,Score
Manning_n_10,0.08492931056478312,0.3942400526952743
Manning_n_30,0.10920755359415993,0.3942400526952743
Manning_n_40,0.041070182096603965,0.3942400526952743
Manning_n_50,0.00017529871142704344,0.3942400526952743
Manning_n_60,0.014626535083950705,0.3942400526952743
Manning_n_80,0.024812996753550563,0.3942400526952743
