proportion_correct,bias,recall,precision,kappa,f1,csi,far,site,stage,dem_type,strategy
0.9728,1.1554,0.9065,0.7846,0.8264,0.8412,0.7259,0.2154,north_industry_oh,12,srtm,single
0.8525,2.7492,0.9787,0.356,0.4565,0.5221,0.3533,0.644,north_industry_oh,12,all,majority_>= 1
0.9022,2.0963,0.9541,0.4551,0.5681,0.6163,0.4454,0.5449,north_industry_oh,12,all,majority_>= 2
0.9312,1.551,0.8578,0.5531,0.6361,0.6725,0.5066,0.4469,north_industry_oh,12,all,majority_>= 3
0.945,1.1041,0.7178,0.6501,0.6522,0.6823,0.5178,0.3499,north_industry_oh,12,all,majority_>= 4
0.9422,0.701,0.4994,0.7125,0.5572,0.5872,0.4157,0.2875,north_industry_oh,12,all,majority_>= 5
0.9352,0.3292,0.271,0.8231,0.3826,0.4078,0.2561,0.1769,north_industry_oh,12,all,majority_>= 6
0.9218,0.0683,0.0594,0.8689,0.1017,0.1111,0.0588,0.1311,north_industry_oh,12,all,majority_>= 7
0.9609,1.2195,0.8723,0.7153,0.7648,0.7861,0.6475,0.2847,north_industry_oh,12,all,f-weighted
0.9263,1.0078,0.5566,0.5522,0.5142,0.5544,0.3835,0.4478,north_industry_oh,12,all,edge-weighted
0.9471,1.639,0.991,0.6046,0.7233,0.751,0.6013,0.3954,north_industry_oh,12,usgs,single
0.8393,1.4751,0.8273,0.5609,0.5676,0.6685,0.5021,0.4391,kansas_city_103rdSt,97,fabdem,single
0.7995,1.5756,0.7569,0.4804,0.4639,0.5877,0.4162,0.5196,kansas_city_103rdSt,97,aster,single
0.8282,1.1586,0.6187,0.534,0.4665,0.5733,0.4018,0.466,kansas_city_103rdSt,97,aw3d30,single
0.8576,0.8677,0.5567,0.6416,0.5102,0.5961,0.4246,0.3584,kansas_city_103rdSt,97,copdem,single
0.8667,0.5179,0.405,0.7821,0.465,0.5337,0.364,0.2179,kansas_city_103rdSt,97,gedtm,single
0.8531,1.1518,0.6861,0.5957,0.5462,0.6377,0.4681,0.4043,kansas_city_103rdSt,97,nasadem,single
0.8454,1.2461,0.7127,0.5719,0.538,0.6346,0.4648,0.4281,kansas_city_103rdSt,97,srtm,single
0.746,2.0859,0.8943,0.4287,0.4283,0.5796,0.4081,0.5713,kansas_city_103rdSt,97,all,majority_>= 1
0.8099,1.6701,0.8497,0.5087,0.5185,0.6364,0.4667,0.4913,kansas_city_103rdSt,97,all,majority_>= 2
0.8471,1.3582,0.7887,0.5806,0.5724,0.6689,0.5025,0.4194,kansas_city_103rdSt,97,all,majority_>= 3
0.8794,1.0369,0.7105,0.6852,0.6223,0.6976,0.5356,0.3148,kansas_city_103rdSt,97,all,majority_>= 4
0.8863,0.7646,0.5919,0.7742,0.6036,0.6709,0.5048,0.2258,kansas_city_103rdSt,97,all,majority_>= 5
0.8777,0.5696,0.4725,0.8296,0.5362,0.6021,0.4307,0.1704,kansas_city_103rdSt,97,all,majority_>= 6
0.8489,0.2766,0.2526,0.913,0.3397,0.3957,0.2466,0.087,kansas_city_103rdSt,97,all,majority_>= 7
0.8708,1.1271,0.7337,0.6509,0.6086,0.6898,0.5265,0.3491,kansas_city_103rdSt,97,all,f-weighted
0.8839,0.7423,0.5747,0.7743,0.5916,0.6598,0.4923,0.2257,kansas_city_103rdSt,97,all,edge-weighted
0.8964,1.509,0.9865,0.6538,0.7217,0.7864,0.648,0.3462,kansas_city_103rdSt,97,usgs,single
0.86,4.3058,0.9339,0.2169,0.3062,0.352,0.2136,0.7831,kansas_city_103rdSt,87,fabdem,single
0.897,2.8958,0.625,0.2158,0.2791,0.3209,0.1911,0.7842,kansas_city_103rdSt,87,aster,single
0.914,2.319,0.5129,0.2212,0.2709,0.3091,0.1828,0.7788,kansas_city_103rdSt,87,aw3d30,single
0.9449,1.5583,0.5708,0.3663,0.4187,0.4463,0.2872,0.6337,kansas_city_103rdSt,87,copdem,single
0.9603,1.3639,0.6701,0.4913,0.5466,0.5669,0.3956,0.5087,kansas_city_103rdSt,87,gedtm,single
0.9197,2.3491,0.6034,0.2569,0.3249,0.3604,0.2198,0.7431,kansas_city_103rdSt,87,nasadem,single
0.9213,2.3147,0.6078,0.2626,0.3317,0.3667,0.2245,0.7374,kansas_city_103rdSt,87,srtm,single
0.8154,5.5083,0.9876,0.1793,0.2519,0.3035,0.1789,0.8207,kansas_city_103rdSt,87,all,majority_>= 1
0.8792,3.8017,0.9174,0.2413,0.3395,0.3821,0.2362,0.7587,kansas_city_103rdSt,87,all,majority_>= 2
