Parameter,Value,Score
Manning_n_10,10.0,0.22572644860940727
Manning_n_30,10.0,0.22572644860940727
Manning_n_40,10.0,0.22572644860940727
Manning_n_50,0.0001,0.22572644860940727
Manning_n_60,10.0,0.22572644860940727
Manning_n_80,0.02210344928544631,0.22572644860940727
